Signal Legend:

Key        Signal Name

0        = XZCS_7
1        = XRD
2        = XWE
3        = XA
4        = XD

Data Table:

Signals-> 0 1 2 3    4    

sample

-2048     1024 2046 
-2047     1024 2046 
-2046     1024 2046 
-2045     1024 2046 
-2044     1024 2046 
-2043     1024 2046 
-2042     1024 2046 
-2041     1024 2046 
-2040     1024 2046 
-2039     1024 2046 
-2038     1024 2046 
-2037     1025 2046 
-2036     1025 2046 
-2035     1025 2046 
-2034     1025 2046 
-2033     1025 2046 
-2032     1025 2046 
-2031     1025 2046 
-2030     1025 2046 
-2029     1025 2046 
-2028     1025 2046 
-2027     1025 2046 
-2026     1025 2046 
-2025     1025 2046 
-2024     1025 2046 
-2023     1025 2046 
-2022     1025 2046 
-2021     1025 2046 
-2020     1025 2046 
-2019     1025 2048 
-2018     1025 2048 
-2017     1025 2048 
-2016     1025 2048 
-2015     1025 2048 
-2014     1025 2048 
-2013     1025 2048 
-2012     1025 2048 
-2011     1025 2048 
-2010     1025 2048 
-2009     1025 2048 
-2008     1025 2048 
-2007     1025 2048 
-2006     1025 2048 
-2005     1025 2048 
-2004     1025 2048 
-2003     1025 2048 
-2002     1025 2048 
-2001     1025 2048 
-2000     1025 2048 
-1999     1025 2048 
-1998     1025 2048 
-1997     1025 2048 
-1996     1026 2048 
-1995     1026 2048 
-1994     1026 2048 
-1993     1026 2048 
-1992     1026 2048 
-1991     1026 2048 
-1990     1026 2046 
-1989     1026 2046 
-1988     1026 2046 
-1987     1026 2046 
-1986     1026 2046 
-1985     1026 2046 
-1984     1026 2046 
-1983     1026 2046 
-1982     1026 2046 
-1981     1026 2046 
-1980     1026 2046 
-1979     1027 2046 
-1978     1027 2046 
-1977     1027 2046 
-1976     1027 2046 
-1975     1027 2046 
-1974     1027 2046 
-1973     1027 2046 
-1972     1027 2046 
-1971     1027 2046 
-1970     1027 2046 
-1969     1027 2046 
-1968     1027 2046 
-1967     1027 2046 
-1966     1027 2046 
-1965     1027 2046 
-1964     1027 2046 
-1963     1027 2046 
-1962     1027 2046 
-1961     1027 2040 
-1960     1027 2040 
-1959     1027 2040 
-1958     1027 2040 
-1957     1027 2040 
-1956     1027 2040 
-1955     1027 2040 
-1954     1027 2040 
-1953     1027 2040 
-1952     1027 2040 
-1951     1027 2040 
-1950     1027 2040 
-1949     1027 2040 
-1948     1027 2040 
-1947     1027 2040 
-1946     1027 2040 
-1945     1027 2040 
-1944     1027 2040 
-1943     1027 2040 
-1942     1027 2040 
-1941     1027 2040 
-1940     1027 2040 
-1939     1027 2040 
-1938     1028 2040 
-1937     1028 2040 
-1936     1028 2040 
-1935     1028 2040 
-1934     1028 2040 
-1933     1028 2040 
-1932     1028 2030 
-1931     1028 2030 
-1930     1028 2030 
-1929     1028 2030 
-1928     1028 2030 
-1927     1028 2030 
-1926     1028 2030 
-1925     1028 2030 
-1924     1028 2030 
-1923     1028 2030 
-1922     1028 2030 
-1921     1029 2030 
-1920     1029 2030 
-1919     1029 2030 
-1918     1029 2030 
-1917     1029 2030 
-1916     1029 2030 
-1915     1029 2030 
-1914     1029 2030 
-1913     1029 2030 
-1912     1029 2030 
-1911     1029 2030 
-1910     1029 2030 
-1909     1029 2030 
-1908     1029 2030 
-1907     1029 2030 
-1906     1029 2030 
-1905     1029 2030 
-1904     1029 2030 
-1903     1029 2016 
-1902     1029 2016 
-1901     1029 2016 
-1900     1029 2016 
-1899     1029 2016 
-1898     1029 2016 
-1897     1029 2016 
-1896     1029 2016 
-1895     1029 2016 
-1894     1029 2016 
-1893     1029 2016 
-1892     1029 2016 
-1891     1029 2016 
-1890     1029 2016 
-1889     1029 2016 
-1888     1029 2016 
-1887     1029 2016 
-1886     1029 2016 
-1885     1029 2016 
-1884     1029 2016 
-1883     1029 2016 
-1882     1029 2016 
-1881     1029 2016 
-1880     1030 2016 
-1879     1030 2016 
-1878     1030 2016 
-1877     1030 2016 
-1876     1030 2016 
-1875     1030 2016 
-1874     1030 1998 
-1873     1030 1998 
-1872     1030 1998 
-1871     1030 1998 
-1870     1030 1998 
-1869     1030 1998 
-1868     1030 1998 
-1867     1030 1998 
-1866     1030 1998 
-1865     1030 1998 
-1864     1030 1998 
-1863     1031 1998 
-1862     1031 1998 
-1861     1031 1998 
-1860     1031 1998 
-1859     1031 1998 
-1858     1031 1998 
-1857     1031 1998 
-1856     1031 1998 
-1855     1031 1998 
-1854     1031 1998 
-1853     1031 1998 
-1852     1031 1998 
-1851     1031 1998 
-1850     1031 1998 
-1849     1031 1998 
-1848     1031 1998 
-1847     1031 1998 
-1846     1031 1998 
-1845     1031 1976 
-1844     1031 1976 
-1843     1031 1976 
-1842     1031 1976 
-1841     1031 1976 
-1840     1031 1976 
-1839     1031 1976 
-1838     1031 1976 
-1837     1031 1976 
-1836     1031 1976 
-1835     1031 1976 
-1834     1031 1976 
-1833     1031 1976 
-1832     1031 1976 
-1831     1031 1976 
-1830     1031 1976 
-1829     1031 1976 
-1828     1031 1976 
-1827     1031 1976 
-1826     1031 1976 
-1825     1031 1976 
-1824     1031 1976 
-1823     1031 1976 
-1822     1032 1976 
-1821     1032 1976 
-1820     1032 1976 
-1819     1032 1976 
-1818     1032 1976 
-1817     1032 1976 
-1816     1032 1951 
-1815     1032 1951 
-1814     1032 1951 
-1813     1032 1951 
-1812     1032 1951 
-1811     1032 1951 
-1810     1032 1951 
-1809     1032 1951 
-1808     1032 1951 
-1807     1032 1951 
-1806     1032 1951 
-1805     1033 1951 
-1804     1033 1951 
-1803     1033 1951 
-1802     1033 1951 
-1801     1033 1951 
-1800     1033 1951 
-1799     1033 1951 
-1798     1033 1951 
-1797     1033 1951 
-1796     1033 1951 
-1795     1033 1951 
-1794     1033 1951 
-1793     1033 1951 
-1792     1033 1951 
-1791     1033 1951 
-1790     1033 1951 
-1789     1033 1951 
-1788     1033 1951 
-1787     1033 1921 
-1786     1033 1921 
-1785     1033 1921 
-1784     1033 1921 
-1783     1033 1921 
-1782     1033 1921 
-1781     1033 1921 
-1780     1033 1921 
-1779     1033 1921 
-1778     1033 1921 
-1777     1033 1921 
-1776     1033 1921 
-1775     1033 1921 
-1774     1033 1921 
-1773     1033 1921 
-1772     1033 1921 
-1771     1033 1921 
-1770     1033 1921 
-1769     1033 1921 
-1768     1033 1921 
-1767     1033 1921 
-1766     1033 1921 
-1765     1033 1921 
-1764     1034 1921 
-1763     1034 1921 
-1762     1034 1921 
-1761     1034 1921 
-1760     1034 1921 
-1759     1034 1921 
-1758     1034 1889 
-1757     1034 1889 
-1756     1034 1889 
-1755     1034 1889 
-1754     1034 1889 
-1753     1034 1889 
-1752     1034 1889 
-1751     1034 1889 
-1750     1034 1889 
-1749     1034 1889 
-1748     1034 1889 
-1747     1035 1889 
-1746     1035 1889 
-1745     1035 1889 
-1744     1035 1889 
-1743     1035 1889 
-1742     1035 1889 
-1741     1035 1889 
-1740     1035 1889 
-1739     1035 1889 
-1738     1035 1889 
-1737     1035 1889 
-1736     1035 1889 
-1735     1035 1889 
-1734     1035 1889 
-1733     1035 1889 
-1732     1035 1889 
-1731     1035 1889 
-1730     1035 1889 
-1729     1035 1852 
-1728     1035 1852 
-1727     1035 1852 
-1726     1035 1852 
-1725     1035 1852 
-1724     1035 1852 
-1723     1035 1852 
-1722     1035 1852 
-1721     1035 1852 
-1720     1035 1852 
-1719     1035 1852 
-1718     1035 1852 
-1717     1035 1852 
-1716     1035 1852 
-1715     1035 1852 
-1714     1035 1852 
-1713     1035 1852 
-1712     1035 1852 
-1711     1035 1852 
-1710     1035 1852 
-1709     1035 1852 
-1708     1035 1852 
-1707     1035 1852 
-1706     1036 1852 
-1705     1036 1852 
-1704     1036 1852 
-1703     1036 1852 
-1702     1036 1852 
-1701     1036 1852 
-1700     1036 1813 
-1699     1036 1813 
-1698     1036 1813 
-1697     1036 1813 
-1696     1036 1813 
-1695     1036 1813 
-1694     1036 1813 
-1693     1036 1813 
-1692     1036 1813 
-1691     1036 1813 
-1690     1036 1813 
-1689     1037 1813 
-1688     1037 1813 
-1687     1037 1813 
-1686     1037 1813 
-1685     1037 1813 
-1684     1037 1813 
-1683     1037 1813 
-1682     1037 1813 
-1681     1037 1813 
-1680     1037 1813 
-1679     1037 1813 
-1678     1037 1813 
-1677     1037 1813 
-1676     1037 1813 
-1675     1037 1813 
-1674     1037 1813 
-1673     1037 1813 
-1672     1037 1813 
-1671     1037 1770 
-1670     1037 1770 
-1669     1037 1770 
-1668     1037 1770 
-1667     1037 1770 
-1666     1037 1770 
-1665     1037 1770 
-1664     1037 1770 
-1663     1037 1770 
-1662     1037 1770 
-1661     1037 1770 
-1660     1037 1770 
-1659     1037 1770 
-1658     1037 1770 
-1657     1037 1770 
-1656     1037 1770 
-1655     1037 1770 
-1654     1037 1770 
-1653     1037 1770 
-1652     1037 1770 
-1651     1037 1770 
-1650     1037 1770 
-1649     1037 1770 
-1648     1038 1770 
-1647     1038 1770 
-1646     1038 1770 
-1645     1038 1770 
-1644     1038 1770 
-1643     1038 1770 
-1642     1038 1725 
-1641     1038 1725 
-1640     1038 1725 
-1639     1038 1725 
-1638     1038 1725 
-1637     1038 1725 
-1636     1038 1725 
-1635     1038 1725 
-1634     1038 1725 
-1633     1038 1725 
-1632     1038 1725 
-1631     1039 1725 
-1630     1039 1725 
-1629     1039 1725 
-1628     1039 1725 
-1627     1039 1725 
-1626     1039 1725 
-1625     1039 1725 
-1624     1039 1725 
-1623     1039 1725 
-1622     1039 1725 
-1621     1039 1725 
-1620     1039 1725 
-1619     1039 1725 
-1618     1039 1725 
-1617     1039 1725 
-1616     1039 1725 
-1615     1039 1725 
-1614     1039 1725 
-1613     1039 1677 
-1612     1039 1677 
-1611     1039 1677 
-1610     1039 1677 
-1609     1039 1677 
-1608     1039 1677 
-1607     1039 1677 
-1606     1039 1677 
-1605     1039 1677 
-1604     1039 1677 
-1603     1039 1677 
-1602     1039 1677 
-1601     1039 1677 
-1600     1039 1677 
-1599     1039 1677 
-1598     1039 1677 
-1597     1039 1677 
-1596     1039 1677 
-1595     1039 1677 
-1594     1039 1677 
-1593     1039 1677 
-1592     1039 1677 
-1591     1039 1677 
-1590     1040 1677 
-1589     1040 1677 
-1588     1040 1677 
-1587     1040 1677 
-1586     1040 1677 
-1585     1040 1677 
-1584     1040 1626 
-1583     1040 1626 
-1582     1040 1626 
-1581     1040 1626 
-1580     1040 1626 
-1579     1040 1626 
-1578     1040 1626 
-1577     1040 1626 
-1576     1040 1626 
-1575     1040 1626 
-1574     1040 1626 
-1573     1041 1626 
-1572     1041 1626 
-1571     1041 1626 
-1570     1041 1626 
-1569     1041 1626 
-1568     1041 1626 
-1567     1041 1626 
-1566     1041 1626 
-1565     1041 1626 
-1564     1041 1626 
-1563     1041 1626 
-1562     1041 1626 
-1561     1041 1626 
-1560     1041 1626 
-1559     1041 1626 
-1558     1041 1626 
-1557     1041 1626 
-1556     1041 1626 
-1555     1041 1573 
-1554     1041 1573 
-1553     1041 1573 
-1552     1041 1573 
-1551     1041 1573 
-1550     1041 1573 
-1549     1041 1573 
-1548     1041 1573 
-1547     1041 1573 
-1546     1041 1573 
-1545     1041 1573 
-1544     1041 1573 
-1543     1041 1573 
-1542     1041 1573 
-1541     1041 1573 
-1540     1041 1573 
-1539     1041 1573 
-1538     1041 1573 
-1537     1041 1573 
-1536     1041 1573 
-1535     1041 1573 
-1534     1041 1573 
-1533     1041 1573 
-1532     1042 1573 
-1531     1042 1573 
-1530     1042 1573 
-1529     1042 1573 
-1528     1042 1573 
-1527     1042 1573 
-1526     1042 1517 
-1525     1042 1517 
-1524     1042 1517 
-1523     1042 1517 
-1522     1042 1517 
-1521     1042 1517 
-1520     1042 1517 
-1519     1042 1517 
-1518     1042 1517 
-1517     1042 1517 
-1516     1042 1517 
-1515     1043 1517 
-1514     1043 1517 
-1513     1043 1517 
-1512     1043 1517 
-1511     1043 1517 
-1510     1043 1517 
-1509     1043 1517 
-1508     1043 1517 
-1507     1043 1517 
-1506     1043 1517 
-1505     1043 1517 
-1504     1043 1517 
-1503     1043 1517 
-1502     1043 1517 
-1501     1043 1517 
-1500     1043 1517 
-1499     1043 1517 
-1498     1043 1517 
-1497     1043 1460 
-1496     1043 1460 
-1495     1043 1460 
-1494     1043 1460 
-1493     1043 1460 
-1492     1043 1460 
-1491     1043 1460 
-1490     1043 1460 
-1489     1043 1460 
-1488     1043 1460 
-1487     1043 1460 
-1486     1043 1460 
-1485     1043 1460 
-1484     1043 1460 
-1483     1043 1460 
-1482     1043 1460 
-1481     1043 1460 
-1480     1043 1460 
-1479     1043 1460 
-1478     1043 1460 
-1477     1043 1460 
-1476     1043 1460 
-1475     1043 1460 
-1474     1044 1460 
-1473     1044 1460 
-1472     1044 1460 
-1471     1044 1460 
-1470     1044 1460 
-1469     1044 1460 
-1468     1044 1401 
-1467     1044 1401 
-1466     1044 1401 
-1465     1044 1401 
-1464     1044 1401 
-1463     1044 1401 
-1462     1044 1401 
-1461     1044 1401 
-1460     1044 1401 
-1459     1044 1401 
-1458     1044 1401 
-1457     1045 1401 
-1456     1045 1401 
-1455     1045 1401 
-1454     1045 1401 
-1453     1045 1401 
-1452     1045 1401 
-1451     1045 1401 
-1450     1045 1401 
-1449     1045 1401 
-1448     1045 1401 
-1447     1045 1401 
-1446     1045 1401 
-1445     1045 1401 
-1444     1045 1401 
-1443     1045 1401 
-1442     1045 1401 
-1441     1045 1401 
-1440     1045 1401 
-1439     1045 1340 
-1438     1045 1340 
-1437     1045 1340 
-1436     1045 1340 
-1435     1045 1340 
-1434     1045 1340 
-1433     1045 1340 
-1432     1045 1340 
-1431     1045 1340 
-1430     1045 1340 
-1429     1045 1340 
-1428     1045 1340 
-1427     1045 1340 
-1426     1045 1340 
-1425     1045 1340 
-1424     1045 1340 
-1423     1045 1340 
-1422     1045 1340 
-1421     1045 1340 
-1420     1045 1340 
-1419     1045 1340 
-1418     1045 1340 
